{'timestamp': 1759195096.0713952, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.1631625, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.250406, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.3424518, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.4337258, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.5217059, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.6137433, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.705708, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.7975683, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.8856835, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195096.977752, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195097.0700681, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195097.157717, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195097.2497253, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195097.341768, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759195097.4297578, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195097.521775, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195097.6136885, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195097.7017581, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195097.7937086, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195097.8857648, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195097.9779887, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759195098.0657957, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
