{'timestamp': 1759261989.998987, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.231135, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.343133, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.3694131, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.3964472, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.4086416, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.4290876, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.4526656, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.4708636, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.4970875, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.516908, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.5368953, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.558295, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.584904, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.6022425, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.6269784, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.6502213, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.6707604, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.7011437, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.7138119, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.7319558, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.7603896, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.7784731, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.7972302, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.8200076, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.8323355, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.8548715, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.877752, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.894573, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.9225156, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.9521222, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.9749494, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261990.9889743, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.013606, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.0409985, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.0621767, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.1007743, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.1234581, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.1539962, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.1790524, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.1984892, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.2268646, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.2528427, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.304025, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.3241427, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.3496208, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.3776271, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
